,latitude,longitude,so,thetao
2022-06-06 17:00:00,36.520832,-2.458332,37.410797,20.216059
2022-06-06 18:00:00,36.520832,-2.458332,37.41201,20.198736
2022-06-06 19:00:00,36.520832,-2.458332,37.413544,20.127886
2022-06-06 20:00:00,36.520832,-2.458332,37.41559,20.040085
2022-06-06 21:00:00,36.520832,-2.458332,37.41802,19.93739
2022-06-06 22:00:00,36.520832,-2.458332,37.42058,19.839901
2022-06-06 23:00:00,36.520832,-2.458332,37.42347,19.79669
2022-06-07 00:00:00,36.520832,-2.458332,37.429,19.793354
2022-06-07 01:00:00,36.520832,-2.458332,37.43033,19.79447
2022-06-07 02:00:00,36.520832,-2.458332,37.43005,19.791513
2022-06-07 03:00:00,36.520832,-2.458332,37.428413,19.785185
2022-06-07 04:00:00,36.520832,-2.458332,37.42583,19.772526
2022-06-07 05:00:00,36.520832,-2.458332,37.422646,19.754307
2022-06-07 06:00:00,36.520832,-2.458332,37.419014,19.750816
2022-06-07 07:00:00,36.520832,-2.458332,37.41502,19.782402
2022-06-07 08:00:00,36.520832,-2.458332,37.410797,19.855183
2022-06-07 09:00:00,36.520832,-2.458332,37.406517,19.966078
2022-06-07 10:00:00,36.520832,-2.458332,37.401558,20.112692
2022-06-07 11:00:00,36.520832,-2.458332,37.39485,20.273188
2022-06-07 12:00:00,36.520832,-2.458332,37.38724,20.417345
2022-06-07 13:00:00,36.520832,-2.458332,37.38085,20.54956
2022-06-07 14:00:00,36.520832,-2.458332,37.376995,20.67402
2022-06-07 15:00:00,36.520832,-2.458332,37.375977,20.777931
2022-06-07 16:00:00,36.520832,-2.458332,37.37769,20.841475
2022-06-07 17:00:00,36.520832,-2.458332,37.381073,20.861523
2022-06-07 18:00:00,36.520832,-2.458332,37.38491,20.842352
2022-06-07 19:00:00,36.520832,-2.458332,37.38818,20.793343
2022-06-07 20:00:00,36.520832,-2.458332,37.389965,20.73424
2022-06-07 21:00:00,36.520832,-2.458332,37.38941,20.672493
2022-06-07 22:00:00,36.520832,-2.458332,37.386486,20.608969
2022-06-07 23:00:00,36.520832,-2.458332,37.382607,20.55187
2022-06-08 00:00:00,36.520832,-2.458332,37.3866,20.508226
2022-06-08 01:00:00,36.520832,-2.458332,37.382988,20.46849
2022-06-08 02:00:00,36.520832,-2.458332,37.379856,20.42984
2022-06-08 03:00:00,36.520832,-2.458332,37.37756,20.383623
2022-06-08 04:00:00,36.520832,-2.458332,37.376266,20.331345
2022-06-08 05:00:00,36.520832,-2.458332,37.37573,20.28291
2022-06-08 06:00:00,36.520832,-2.458332,37.375477,20.268084
2022-06-08 07:00:00,36.520832,-2.458332,37.374836,20.305794
2022-06-08 08:00:00,36.520832,-2.458332,37.372627,20.38085
2022-06-08 09:00:00,36.520832,-2.458332,37.367905,20.472437
2022-06-08 10:00:00,36.520832,-2.458332,37.360092,20.557072
2022-06-08 11:00:00,36.520832,-2.458332,37.349167,20.611725
2022-06-08 12:00:00,36.520832,-2.458332,37.336952,20.6207
2022-06-08 13:00:00,36.520832,-2.458332,37.32625,20.59707
2022-06-08 14:00:00,36.520832,-2.458332,37.318558,20.552078
2022-06-08 15:00:00,36.520832,-2.458332,37.314426,20.482246
2022-06-08 16:00:00,36.520832,-2.458332,37.313705,20.387033
